human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,2.000000000000000000e+00,9.927169130427452304e-01,2.836530450092685784e-01,4.742210583663784007e-01,1.673328841520412835e-01,9.943562170018070967e-01,1.340172775745594757e-04,4.778055647705316544e-01,1.671323171084859449e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.943562170018070967e-01,1.340172775745594757e-04,4.754372154931957861e-01,1.671323171084859449e-01,9.503954705783895784e-01,1.741087155661302690e-04,4.776918541779720528e-01,1.671457347157799256e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,9.503954705783895784e-01,1.741087155661302690e-04,4.755334167475497309e-01,1.671457347157799256e-01,9.064227896242620375e-01,8.265604079883040467e-03,4.775506971055910599e-01,1.671629241330604976e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,9.064227896242620375e-01,8.265604079883040467e-03,4.754612377877175944e-01,1.671629241330604976e-01,8.624476452081192290e-01,3.825559200748102073e-02,4.773604231134370157e-01,1.671955749247766021e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,8.624476452081192290e-01,3.825559200748102073e-02,4.751798903908662774e-01,1.671955749247766021e-01,7.975808153865605599e-01,8.845620687053323827e-02,4.770543917866671424e-01,1.672462573675359554e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,7.975808153865605599e-01,8.845620687053323827e-02,4.748501767610093238e-01,1.672462573675359554e-01,6.887547379514910029e-01,1.424344211208675159e-01,4.765475573960373246e-01,1.673097895966925708e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,6.887547379514910029e-01,1.424344211208675159e-01,4.747360380775633715e-01,1.673097895966925708e-01,5.707184787735275489e-01,1.985759676885979763e-01,4.759201037640291010e-01,1.673781261608991988e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,5.707184787735275489e-01,1.985759676885979763e-01,4.748243092865657711e-01,1.673781261608991988e-01,4.600914452122621401e-01,2.525637378229675378e-01,4.752566879670469535e-01,1.674468869620285849e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.600914452122621401e-01,2.525637378229675378e-01,4.749521926470947064e-01,1.674468869620285849e-01,3.055107920128072863e-01,3.065455379445919948e-01,4.742139701778976812e-01,1.675400057675961174e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.055107920128072863e-01,3.065455379445919948e-01,4.750479287592057620e-01,1.675400057675961174e-01,1.069782912901451888e-01,3.605177784966328569e-01,4.726080220250089003e-01,1.676759252142291934e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.069782912901451888e-01,3.605177784966328569e-01,4.752969143472471347e-01,1.676759252142291934e-01,1.034704949404895852e-02,4.166785978593159911e-01,4.714848025178584590e-01,1.678006110339420875e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,1.034704949404895852e-02,4.166785978593159911e-01,4.754913373104218133e-01,1.678006110339420875e-01,5.561390719000702115e-02,4.707057982342652269e-01,4.715427629137760035e-01,1.678688678486938424e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,5.561390719000702115e-02,4.707057982342652269e-01,4.755099968278145850e-01,1.678688678486938424e-01,1.448794570107437285e-01,5.133596437845401317e-01,4.720770692728799567e-01,1.678889391339744019e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,1.448794570107437285e-01,5.133596437845401317e-01,4.754362297367530910e-01,1.678889391339744019e-01,2.363747743630570108e-01,5.339139070855434266e-01,4.726863726663681486e-01,1.678752601430099911e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,2.363747743630570108e-01,5.339139070855434266e-01,4.754301290706187677e-01,1.678752601430099911e-01,2.839503899259100961e-01,5.323723582717019287e-01,4.730747477507923904e-01,1.678446008893608732e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,2.839503899259100961e-01,5.323723582717019287e-01,4.755296157246192146e-01,1.678446008893608732e-01,2.876033589882879826e-01,5.087451403112809301e-01,4.732054699192244085e-01,1.678091649158671150e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.876033589882879826e-01,5.087451403112809301e-01,4.754877857850708933e-01,1.678091649158671150e-01,2.472678474836245421e-01,4.703263508724788711e-01,4.731569500221620150e-01,1.677628851093790341e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,2.472678474836245421e-01,4.703263508724788711e-01,4.752565390754863173e-01,1.677628851093790341e-01,2.004431136970091787e-01,4.359382900415149087e-01,4.729843031891201588e-01,1.677339857523168221e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,2.004431136970091787e-01,4.359382900415149087e-01,4.746366373027838814e-01,1.677339857523168221e-01,2.000644430946898755e-01,4.244207011006859709e-01,4.730509268212106377e-01,1.677157686745539555e-01,2.000000000000000042e-02,2.000000000000000111e-01
