human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-3.679613463400425166e-01,1.657221459197107116e-01,-9.292814352754676967e-05,8.490568248377587473e-05,-1.712319265287546022e-01,1.630484713436267941e-01,-9.506827824474143107e-06,3.864510076654650140e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.712319265287546022e-01,1.630484713436267941e-01,-6.503329948577209099e-05,3.864510076654650140e-05,-1.712337878360436494e-01,1.630561794930048825e-01,-9.478388454132975283e-06,3.863153296485916577e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.712337878360436494e-01,1.630561794930048825e-01,-6.227739002099535862e-05,3.863153296485916577e-05,-1.712356381931105509e-01,1.630638819195487088e-01,-9.576283841852544851e-06,3.868494493267642814e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.712356381931105509e-01,1.630638819195487088e-01,-6.429568582698894324e-05,3.868494493267642814e-05,-1.750392855235271827e-01,1.630717395978947271e-01,-1.067343997643856520e-05,3.924838780209704940e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.750392855235271827e-01,1.630717395978947271e-01,-6.687424975364107812e-05,3.924838780209704940e-05,-1.792384056416742588e-01,1.630794215082239929e-01,-1.191637343393963020e-05,3.966957523018736515e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.792384056416742588e-01,1.630794215082239929e-01,-6.706940515823170304e-05,3.966957523018736515e-05,-1.754423194440294931e-01,1.630871160591268743e-01,-1.084180183613071285e-05,3.926299527645615118e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.754423194440294931e-01,1.630871160591268743e-01,-6.884492846092240951e-05,3.926299527645615118e-05,-1.741259588651558055e-01,1.630947878710856946e-01,-1.031011821919601856e-05,3.903437629215705362e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.741259588651558055e-01,1.630947878710856946e-01,-7.154922310312431541e-05,3.903437629215705362e-05,-1.741279616093276417e-01,1.631025635692648357e-01,-1.018129936934362515e-05,3.896029649511907844e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.741279616093276417e-01,1.631025635692648357e-01,-6.963070014736729763e-05,3.896029649511907844e-05,-1.741299598087382994e-01,1.631103371936105106e-01,-1.021045701351201758e-05,3.898371837441364169e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.741299598087382994e-01,1.631103371936105106e-01,-6.733183412780264620e-05,3.898371837441364169e-05,-1.741319524482134451e-01,1.631181082093800250e-01,-1.021009829521365574e-05,3.898117420960684864e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.741319524482134451e-01,1.631181082093800250e-01,-6.887872268182933721e-05,3.898117420960684864e-05,-1.741340185874419300e-01,1.631261871267870589e-01,-1.013629591959189811e-05,3.894255928869320602e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.741340185874419300e-01,1.631261871267870589e-01,-7.014525351801994516e-05,3.894255928869320602e-05,-1.779297248698144818e-01,1.631337901816224956e-01,-1.139271479689110078e-05,3.954534276787708530e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.779297248698144818e-01,1.631337901816224956e-01,-7.181791517886297030e-05,3.954534276787708530e-05,-1.821369827092869931e-01,1.631415262440912561e-01,-1.271589690305867140e-05,4.010278864958444320e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.821369827092869931e-01,1.631415262440912561e-01,-7.583758392328053630e-05,4.010278864958444320e-05,-1.818227652528393856e-01,1.631498359356769456e-01,-1.262131505687333094e-05,4.005899971487407712e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.818227652528393856e-01,1.631498359356769456e-01,-8.465953815870293437e-05,4.005899971487407712e-05,-1.853053464824571117e-01,1.631576926183241627e-01,-1.382845103271691944e-05,4.081541977400688352e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.853053464824571117e-01,1.631576926183241627e-01,-9.901343232238906495e-05,4.081541977400688352e-05,-1.891882738729586677e-01,1.631656663524538864e-01,-1.503776972927553223e-05,4.103558973260585069e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.891882738729586677e-01,1.631656663524538864e-01,-1.169041088206653465e-04,4.103558973260585069e-05,-1.888728247081485623e-01,1.631738474169136255e-01,-1.489438654884665769e-05,4.098193546103473804e-05,0.000000000000000000e+00,0.000000000000000000e+00
