human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-3.641069039942813612e-01,1.657075177357670570e-01,-1.747279784224612387e-01,1.647962468125605262e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.747279784224612387e-01,1.647962468125605262e-01,-1.862092496897334581e-01,1.705437158672193920e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.862092496897334581e-01,1.705437158672193920e-01,-1.987008571603978146e-01,1.798041002603948668e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.987008571603978146e-01,1.798041002603948668e-01,-2.032409916759254642e-01,1.899660890661803159e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.032409916759254642e-01,1.899660890661803159e-01,-1.994483533961434740e-01,1.997370681331130937e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.994483533961434740e-01,1.997370681331130937e-01,-1.876569561184362467e-01,2.095068284382201329e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.876569561184362467e-01,2.095068284382201329e-01,-1.749609985693800218e-01,2.192762170285221524e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.749609985693800218e-01,2.192762170285221524e-01,-1.787657932540934747e-01,2.294402842735547843e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.787657932540934747e-01,2.294402842735547843e-01,-1.829700388691757329e-01,2.388007097159307868e-01,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.829700388691757329e-01,2.388007097159307868e-01,-1.829784876505996527e-01,2.447625608468389224e-01,0.000000000000000000e+00,0.000000000000000000e+00
