expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-4.200000000000000000e+01,1.066012573242187500e+01,5.794007527234628085e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.054474210739135742e+01,1.564975562063737113e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.054827380180358887e+01,1.860377146761958089e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.055314302444458008e+01,1.176031784995078544e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.200000000000000000e+01,2.091038584709167480e+01,1.270888337527121159e+00,1.030000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.745126962661743164e+00,2.973602978924174134e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.055051994323730469e+01,1.804908565089231143e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.054877614974975586e+01,1.267449175964392216e+00,1.500000000000000000e+02
0.000000000000000000e+00,-7.300000000000000000e+01,1.701875376701354980e+01,9.497626511110985881e-01,8.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.055106115341186523e+01,1.606315911723816825e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.149269104003906250e+00,2.971421993706795939e-01,2.100000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.320365667343139648e+00,2.934532375235088808e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.088932466506958008e+01,1.811278038396408441e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.100000000000000000e+01,6.426585674285888672e+00,3.909060715003948583e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.564519882202148438e+00,2.927846556460568239e-01,2.300000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.905847072601318359e+00,2.928443624986531990e-01,1.500000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.392012596130371094e+00,2.324069649746965949e-01,2.700000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+01,1.244080495834350586e+01,8.487967605969319873e-01,6.100000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.182746171951293945e+00,2.877225921533893560e-01,2.600000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.114555835723876953e+00,2.912988559608541417e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.969897747039794922e+00,3.080538163199955104e-01,2.500000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.524256467819213867e+00,2.876265804061536868e-01,1.800000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.937686204910278320e+00,5.751733591925239919e-01,4.900000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.110120773315429688e+00,2.520672103478062698e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,6.001804590225219727e+00,3.428567511217288089e-01,3.000000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.903519868850708008e+00,1.815567459425407870e-01,1.500000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.864161729812622070e+00,3.721943931353200452e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.801103353500366211e+00,3.461990876526711558e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.557227611541748047e+00,3.020105299373729291e-01,2.300000000000000000e+01
0.000000000000000000e+00,-4.500000000000000000e+01,1.138243651390075684e+01,6.137301214431857277e-01,5.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.141156196594238281e+00,1.918218526881398101e-01,2.100000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.518427133560180664e+00,2.908780295661466120e-01,1.800000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.179611206054687500e+00,2.335586628162688860e-01,2.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.279105424880981445e+00,1.244905380708193759e-01,1.200000000000000000e+01
